,price,area,bedrooms,bathrooms,stories,mainroad,guestroom,basement,hotwaterheating,airconditioning,parking,prefarea,furnishingstatus
65,6930000,8880.0,3.0,2.0,2.0,yes,no,yes,no,yes,1.0,no,furnished
66,6930000,13200.0,2.0,1.0,1.0,yes,no,yes,yes,no,1.0,no,furnished
67,6895000,7700.0,3.0,2.0,1.0,yes,no,no,no,no,2.0,no,unfurnished
68,6860000,6000.0,3.0,1.0,1.0,yes,no,no,no,yes,1.0,no,furnished
69,6790000,12090.0,4.0,2.0,2.0,yes,no,no,no,no,2.0,yes,furnished
70,6790000,4000.0,3.0,2.0,2.0,yes,no,yes,no,yes,0.0,yes,semi-furnished
71,6755000,6000.0,4.0,2.0,4.0,yes,no,no,no,yes,0.0,no,unfurnished
72,6720000,5020.0,3.0,1.0,4.0,yes,no,no,no,yes,0.0,yes,unfurnished
73,6685000,6600.0,2.0,2.0,4.0,yes,no,yes,no,no,0.0,yes,semi-furnished
74,6650000,4040.0,3.0,1.0,2.0,yes,no,yes,no,no,1.0,no,semi-furnished
75,6650000,4260.0,4.0,2.0,2.0,yes,no,no,yes,no,0.0,no,semi-furnished
76,6650000,6420.0,3.0,2.0,3.0,yes,no,no,no,yes,0.0,yes,furnished
77,6650000,6500.0,3.0,2.0,3.0,yes,no,no,no,yes,0.0,yes,furnished
78,6650000,5700.0,3.0,1.0,1.0,yes,yes,yes,no,yes,2.0,yes,furnished
79,6650000,6000.0,3.0,2.0,3.0,yes,yes,no,no,yes,0.0,no,furnished
80,6629000,6000.0,3.0,1.0,2.0,yes,no,no,no,no,1.0,yes,semi-furnished
81,6615000,4000.0,3.0,1.0,2.0,yes,no,yes,no,yes,1.0,no,semi-furnished
82,6615000,10500.0,3.0,2.0,1.0,yes,no,yes,no,yes,1.0,yes,furnished
83,6580000,6000.0,3.0,2.0,4.0,yes,no,no,no,yes,0.0,no,semi-furnished
84,6510000,3760.0,3.0,1.0,2.0,yes,no,no,yes,no,2.0,no,semi-furnished
85,6510000,8250.0,3.0,2.0,3.0,yes,no,no,no,yes,0.0,no,furnished
86,6510000,6670.0,3.0,1.0,3.0,yes,no,yes,no,no,0.0,yes,unfurnished
87,6475000,3960.0,3.0,1.0,1.0,yes,no,yes,no,no,2.0,no,semi-furnished
88,6475000,7410.0,3.0,1.0,1.0,yes,yes,yes,no,yes,0.0,yes,unfurnished
89,6440000,8580.0,5.0,3.0,2.0,yes,no,no,no,no,2.0,no,furnished
90,6440000,5000.0,3.0,1.0,2.0,yes,no,no,no,yes,0.0,no,semi-furnished
91,6419000,6750.0,2.0,1.0,1.0,yes,yes,yes,no,no,2.0,yes,furnished
92,6405000,4800.0,3.0,2.0,4.0,yes,yes,no,no,yes,0.0,no,furnished
93,6300000,7200.0,3.0,2.0,1.0,yes,no,yes,no,yes,3.0,no,semi-furnished
94,6300000,6000.0,4.0,2.0,4.0,yes,no,no,no,no,1.0,no,semi-furnished
95,6300000,4100.0,3.0,2.0,3.0,yes,no,no,no,yes,2.0,no,semi-furnished
96,6300000,9000.0,3.0,1.0,1.0,yes,no,yes,no,no,1.0,yes,furnished
97,6300000,5123.0,3.0,1.0,1.0,yes,yes,yes,no,yes,1.0,yes,semi-furnished
98,6293000,6600.0,3.0,2.0,2.0,yes,no,no,no,yes,0.0,yes,unfurnished
99,6265000,6000.0,4.0,1.0,3.0,yes,yes,yes,no,no,0.0,yes,unfurnished
100,6230000,6600.0,3.0,2.0,1.0,yes,no,yes,no,no,0.0,yes,unfurnished
101,6230000,5500.0,3.0,1.0,3.0,yes,no,no,no,no,1.0,yes,unfurnished
102,6195000,5500.0,3.0,2.0,4.0,yes,yes,no,no,yes,1.0,no,semi-furnished
103,6195000,6350.0,3.0,2.0,3.0,yes,yes,no,no,yes,0.0,no,furnished
104,6195000,5500.0,3.0,2.0,1.0,yes,yes,yes,no,no,2.0,yes,furnished
105,6160000,4500.0,3.0,1.0,4.0,yes,no,no,no,yes,0.0,no,unfurnished
106,6160000,5450.0,4.0,2.0,1.0,yes,no,yes,no,yes,0.0,yes,semi-furnished
107,6125000,6420.0,3.0,1.0,3.0,yes,no,yes,no,no,0.0,yes,unfurnished
108,6107500,3240.0,4.0,1.0,3.0,yes,no,no,no,no,1.0,no,semi-furnished
109,6090000,6615.0,4.0,2.0,2.0,yes,yes,no,yes,no,1.0,no,semi-furnished
110,6090000,6600.0,3.0,1.0,1.0,yes,yes,yes,no,no,2.0,yes,semi-furnished
111,6090000,8372.0,3.0,1.0,3.0,yes,no,no,no,yes,2.0,no,unfurnished
112,6083000,4300.0,6.0,2.0,2.0,yes,no,no,no,no,0.0,no,furnished
113,6083000,5123.0,3.0,1.0,1.0,yes,no,yes,no,no,2.0,yes,furnished
114,6020000,6800.0,2.0,1.0,1.0,yes,yes,yes,no,no,2.0,no,furnished
115,6020000,8000.0,3.0,1.0,1.0,yes,yes,yes,no,yes,2.0,yes,semi-furnished
116,6020000,6900.0,3.0,2.0,1.0,yes,yes,yes,no,no,0.0,yes,unfurnished
117,5950000,3700.0,4.0,1.0,2.0,yes,yes,no,no,yes,0.0,no,furnished
118,5950000,6420.0,3.0,1.0,1.0,yes,no,yes,no,yes,0.0,yes,furnished
119,5950000,7020.0,3.0,1.0,1.0,yes,no,yes,no,yes,2.0,yes,semi-furnished
120,5950000,6540.0,3.0,1.0,1.0,yes,yes,yes,no,no,2.0,yes,furnished
121,5950000,5123.0,3.0,1.0,2.0,yes,yes,yes,no,yes,0.0,yes,semi-furnished
122,5950000,6254.0,4.0,2.0,1.0,yes,no,yes,no,no,1.0,yes,semi-furnished
123,5950000,7320.0,4.0,2.0,2.0,yes,no,no,no,no,0.0,no,furnished
124,5950000,6525.0,3.0,2.0,4.0,yes,no,no,no,no,1.0,no,furnished
125,5943000,15600.0,3.0,1.0,1.0,yes,no,no,no,no,2.0,no,semi-furnished
126,5880000,7160.0,3.0,1.0,1.0,yes,no,yes,no,no,2.0,yes,unfurnished
127,5880000,6500.0,3.0,2.0,3.0,yes,no,no,no,yes,0.0,no,unfurnished
128,5873000,5500.0,3.0,1.0,3.0,yes,yes,no,no,yes,1.0,no,furnished
129,5873000,11460.0,3.0,1.0,3.0,yes,no,no,no,no,2.0,yes,semi-furnished
130,5866000,4800.0,3.0,1.0,1.0,yes,yes,yes,no,no,0.0,no,unfurnished
131,5810000,5828.0,3.0,1.0,4.0,yes,yes,no,no,no,0.0,no,semi-furnished
132,5810000,5200.0,3.0,1.0,3.0,yes,no,no,no,yes,0.0,no,semi-furnished
133,5810000,4800.0,3.0,1.0,3.0,yes,no,no,no,yes,0.0,no,unfurnished
134,5803000,7000.0,3.0,1.0,1.0,yes,no,yes,no,no,2.0,yes,semi-furnished
135,5775000,5123.0,3.0,2.0,4.0,yes,no,no,no,yes,0.0,no,unfurnished
136,5740000,5400.0,4.0,2.0,2.0,yes,no,no,no,yes,2.0,no,unfurnished
137,5740000,4640.0,4.0,1.0,2.0,yes,no,no,no,no,1.0,no,semi-furnished
138,5740000,5000.0,3.0,1.0,3.0,yes,no,no,no,no,0.0,no,semi-furnished
139,5740000,6360.0,3.0,1.0,1.0,yes,yes,yes,no,yes,2.0,yes,furnished
140,5740000,5800.0,3.0,2.0,4.0,yes,no,no,no,yes,0.0,no,unfurnished
141,5652500,5123.0,4.0,2.0,2.0,yes,yes,yes,no,no,1.0,yes,semi-furnished
142,5600000,10500.0,4.0,2.0,2.0,yes,no,no,no,no,1.0,no,semi-furnished
143,5600000,4800.0,5.0,2.0,3.0,no,no,yes,yes,no,0.0,no,unfurnished
144,5600000,4700.0,4.0,1.0,2.0,yes,yes,yes,no,yes,1.0,no,furnished
145,5600000,5000.0,3.0,1.0,4.0,yes,no,no,no,no,0.0,no,furnished
146,5600000,10500.0,2.0,1.0,1.0,yes,no,no,no,no,1.0,no,semi-furnished
147,5600000,5500.0,3.0,2.0,2.0,yes,no,no,no,no,1.0,no,semi-furnished
148,5600000,6360.0,3.0,1.0,3.0,yes,no,no,no,no,0.0,yes,semi-furnished
149,5600000,6600.0,4.0,2.0,1.0,yes,no,yes,no,no,0.0,yes,semi-furnished
150,5600000,5136.0,3.0,1.0,2.0,yes,yes,yes,no,yes,0.0,no,unfurnished
151,5565000,5123.0,4.0,1.0,2.0,yes,no,no,no,yes,2.0,yes,semi-furnished
152,5565000,5400.0,5.0,1.0,2.0,yes,yes,yes,no,yes,0.0,yes,furnished
153,5530000,3300.0,3.0,3.0,2.0,yes,no,no,no,no,0.0,no,semi-furnished
154,5530000,3650.0,3.0,2.0,2.0,yes,no,no,no,no,2.0,no,semi-furnished
155,5530000,6100.0,3.0,2.0,1.0,yes,no,yes,no,no,2.0,yes,furnished
156,5523000,6900.0,3.0,1.0,1.0,yes,yes,yes,no,no,0.0,yes,semi-furnished
157,5495000,2817.0,4.0,2.0,2.0,no,yes,yes,no,no,1.0,no,furnished
158,5495000,7980.0,3.0,1.0,1.0,yes,no,no,no,no,2.0,no,semi-furnished
159,5460000,3150.0,3.0,2.0,1.0,yes,yes,yes,no,yes,0.0,no,furnished
160,5460000,6210.0,4.0,1.0,4.0,yes,yes,no,no,yes,0.0,no,semi-furnished
161,5460000,6100.0,3.0,1.0,3.0,yes,yes,no,no,yes,0.0,yes,semi-furnished
162,5460000,6600.0,3.0,2.0,2.0,yes,yes,yes,no,no,0.0,yes,semi-furnished
163,5425000,6825.0,3.0,1.0,1.0,yes,yes,yes,no,yes,0.0,no,semi-furnished
164,5390000,6710.0,3.0,2.0,2.0,yes,yes,yes,no,no,1.0,yes,furnished
165,5383000,6450.0,3.0,2.0,1.0,yes,no,yes,yes,no,0.0,no,unfurnished
166,5320000,7800.0,3.0,1.0,1.0,yes,no,yes,no,yes,2.0,yes,unfurnished
167,5285000,4600.0,2.0,2.0,1.0,yes,no,no,no,yes,2.0,no,semi-furnished
168,5250000,4260.0,3.0,1.0,2.0,yes,no,yes,no,yes,0.0,no,furnished
169,5250000,6540.0,4.0,2.0,2.0,no,no,no,no,yes,0.0,no,semi-furnished
170,5250000,5500.0,3.0,2.0,1.0,yes,no,yes,no,no,0.0,no,semi-furnished
171,5250000,10269.0,3.0,1.0,1.0,yes,no,no,no,no,1.0,yes,semi-furnished
172,5250000,8400.0,3.0,1.0,2.0,yes,yes,yes,no,yes,0.0,yes,unfurnished
173,5250000,5300.0,4.0,2.0,2.0,yes,no,no,no,yes,0.0,yes,unfurnished
174,5250000,3800.0,3.0,1.0,2.0,yes,yes,yes,no,no,1.0,yes,unfurnished
175,5250000,9800.0,4.0,2.0,2.0,yes,no,no,no,no,2.0,no,semi-furnished
176,5250000,8520.0,3.0,1.0,1.0,yes,no,no,no,yes,2.0,no,furnished
177,5243000,6050.0,3.0,1.0,1.0,yes,no,yes,no,no,0.0,yes,semi-furnished
178,5229000,7085.0,3.0,1.0,1.0,yes,yes,yes,no,no,2.0,yes,semi-furnished
179,5215000,3180.0,3.0,2.0,2.0,yes,no,no,no,no,2.0,no,semi-furnished
180,5215000,4500.0,4.0,2.0,1.0,no,no,yes,no,yes,2.0,no,semi-furnished
181,5215000,7200.0,3.0,1.0,2.0,yes,yes,yes,no,no,1.0,no,furnished
182,5145000,3410.0,3.0,1.0,2.0,no,no,no,no,no,0.0,no,semi-furnished
183,5145000,7980.0,3.0,1.0,1.0,yes,no,no,no,no,1.0,yes,semi-furnished
184,5110000,3000.0,3.0,2.0,2.0,yes,yes,yes,no,no,0.0,no,furnished
185,5110000,3000.0,3.0,1.0,2.0,yes,no,yes,no,no,0.0,no,unfurnished
186,5110000,11410.0,2.0,1.0,2.0,yes,no,no,no,no,0.0,yes,furnished
187,5110000,6100.0,3.0,1.0,1.0,yes,no,yes,no,yes,0.0,yes,semi-furnished
188,5075000,5720.0,2.0,1.0,2.0,yes,no,no,no,yes,0.0,yes,unfurnished
189,5040000,3540.0,2.0,1.0,1.0,no,yes,yes,no,no,0.0,no,semi-furnished
190,5040000,5123.0,3.0,1.0,2.0,yes,no,no,no,yes,2.0,no,furnished
191,5040000,10700.0,3.0,1.0,2.0,yes,yes,yes,no,no,0.0,no,semi-furnished
192,5040000,6600.0,3.0,1.0,1.0,yes,yes,yes,no,no,0.0,yes,furnished
193,5033000,4800.0,2.0,1.0,1.0,yes,yes,yes,no,no,0.0,no,semi-furnished
194,5005000,8150.0,3.0,2.0,1.0,yes,yes,yes,no,no,0.0,no,semi-furnished
195,4970000,4410.0,4.0,3.0,2.0,yes,no,yes,no,no,2.0,no,semi-furnished
196,4970000,7686.0,3.0,1.0,1.0,yes,yes,yes,yes,no,0.0,no,semi-furnished
197,4956000,2800.0,3.0,2.0,2.0,no,no,yes,no,yes,1.0,no,semi-furnished
198,4935000,5948.0,3.0,1.0,2.0,yes,no,no,no,yes,0.0,no,semi-furnished
199,4907000,4200.0,3.0,1.0,2.0,yes,no,no,no,no,1.0,no,furnished
200,4900000,4520.0,3.0,1.0,2.0,yes,no,yes,no,yes,0.0,no,semi-furnished
201,4900000,4095.0,3.0,1.0,2.0,no,yes,yes,no,yes,0.0,no,semi-furnished
202,4900000,4120.0,3.0,1.0,1.0,yes,no,yes,no,no,1.0,no,semi-furnished
203,4900000,5400.0,4.0,1.0,2.0,yes,no,no,no,no,0.0,no,semi-furnished
204,4900000,4770.0,3.0,1.0,1.0,yes,yes,yes,no,no,0.0,no,semi-furnished
205,4900000,6300.0,3.0,1.0,1.0,yes,no,no,no,yes,2.0,no,semi-furnished
206,4900000,5800.0,2.0,1.0,1.0,yes,yes,yes,no,yes,0.0,no,semi-furnished
207,4900000,3000.0,3.0,1.0,2.0,yes,no,yes,no,yes,0.0,no,semi-furnished
208,4900000,2970.0,3.0,1.0,3.0,yes,no,no,no,no,0.0,no,semi-furnished
209,4900000,6720.0,3.0,1.0,1.0,yes,no,no,no,no,0.0,no,unfurnished
210,4900000,4646.0,3.0,1.0,2.0,yes,yes,yes,no,no,2.0,no,semi-furnished
211,4900000,12900.0,3.0,1.0,1.0,yes,no,no,no,no,2.0,no,furnished
212,4893000,3420.0,4.0,1.0,2.0,yes,no,yes,no,yes,2.0,no,semi-furnished
213,4893000,4995.0,4.0,2.0,1.0,yes,no,yes,no,no,0.0,no,semi-furnished
214,4865000,4350.0,2.0,1.0,1.0,yes,no,yes,no,no,0.0,no,unfurnished
215,4830000,4160.0,3.0,1.0,3.0,yes,no,no,no,no,0.0,no,unfurnished
216,4830000,6040.0,3.0,1.0,1.0,yes,no,no,no,no,2.0,yes,semi-furnished
217,4830000,6862.0,3.0,1.0,2.0,yes,no,no,no,yes,2.0,yes,furnished
218,4830000,4815.0,2.0,1.0,1.0,yes,no,no,no,yes,0.0,yes,semi-furnished
219,4795000,7000.0,3.0,1.0,2.0,yes,no,yes,no,no,0.0,no,unfurnished
220,4795000,8100.0,4.0,1.0,4.0,yes,no,yes,no,yes,2.0,no,semi-furnished
221,4767000,3420.0,4.0,2.0,2.0,yes,no,no,no,no,0.0,no,semi-furnished
222,4760000,9166.0,2.0,1.0,2.0,yes,no,yes,no,yes,2.0,no,semi-furnished
223,4760000,6321.0,3.0,1.0,2.0,yes,no,yes,no,yes,1.0,no,furnished
224,4760000,10240.0,2.0,1.0,1.0,yes,no,no,no,yes,2.0,yes,unfurnished
225,4753000,6440.0,2.0,1.0,1.0,yes,no,no,no,yes,3.0,no,semi-furnished
226,4690000,5170.0,3.0,1.0,4.0,yes,no,no,no,yes,0.0,no,semi-furnished
227,4690000,5123.0,2.0,1.0,1.0,yes,no,yes,no,yes,1.0,no,furnished
228,4690000,3630.0,3.0,1.0,2.0,yes,no,no,no,no,2.0,no,semi-furnished
229,4690000,9667.0,4.0,2.0,2.0,yes,yes,yes,no,no,1.0,no,semi-furnished
230,4690000,5400.0,2.0,1.0,2.0,yes,no,no,no,no,0.0,yes,semi-furnished
231,4690000,4320.0,3.0,1.0,1.0,yes,no,no,no,no,0.0,yes,semi-furnished
232,4655000,3745.0,3.0,1.0,2.0,yes,no,yes,no,no,0.0,no,furnished
233,4620000,4160.0,3.0,1.0,1.0,yes,yes,yes,no,yes,0.0,no,unfurnished
234,4620000,3880.0,3.0,2.0,2.0,yes,no,yes,no,no,2.0,no,semi-furnished
235,4620000,5680.0,3.0,1.0,2.0,yes,yes,no,no,yes,1.0,no,semi-furnished
236,4620000,2870.0,2.0,1.0,2.0,yes,yes,yes,no,no,0.0,yes,semi-furnished
237,4620000,5010.0,3.0,1.0,2.0,yes,no,yes,no,no,0.0,no,semi-furnished
238,4613000,4510.0,4.0,2.0,2.0,yes,no,yes,no,no,0.0,no,semi-furnished
239,4585000,4000.0,3.0,1.0,2.0,yes,no,no,no,no,1.0,no,furnished
240,4585000,3840.0,3.0,1.0,2.0,yes,no,no,no,no,1.0,yes,semi-furnished
241,4550000,3760.0,3.0,1.0,1.0,yes,no,no,no,no,2.0,no,semi-furnished
242,4550000,3640.0,3.0,1.0,2.0,yes,no,no,no,yes,0.0,no,furnished
243,4550000,2550.0,3.0,1.0,2.0,yes,no,yes,no,no,0.0,no,furnished
244,4550000,5320.0,3.0,1.0,2.0,yes,yes,yes,no,no,0.0,yes,semi-furnished
245,4550000,5360.0,3.0,1.0,2.0,yes,no,no,no,no,0.0,yes,unfurnished
246,4550000,3520.0,3.0,1.0,1.0,yes,no,no,no,no,0.0,yes,semi-furnished
247,4550000,8400.0,4.0,1.0,4.0,yes,no,no,no,no,3.0,no,unfurnished
248,4543000,4100.0,2.0,2.0,1.0,yes,yes,yes,no,no,0.0,no,semi-furnished
249,4543000,4990.0,4.0,2.0,2.0,yes,yes,yes,no,no,0.0,yes,furnished
250,4515000,3510.0,3.0,1.0,3.0,yes,no,no,no,no,0.0,no,semi-furnished
251,4515000,3450.0,3.0,1.0,2.0,yes,no,yes,no,no,1.0,no,semi-furnished
252,4515000,9860.0,3.0,1.0,1.0,yes,no,no,no,no,0.0,no,semi-furnished
253,4515000,3520.0,2.0,1.0,2.0,yes,no,no,no,no,0.0,yes,furnished
254,4480000,4510.0,4.0,1.0,2.0,yes,no,no,no,yes,2.0,no,semi-furnished
255,4480000,5885.0,2.0,1.0,1.0,yes,no,no,no,yes,1.0,no,unfurnished
256,4480000,4000.0,3.0,1.0,2.0,yes,no,no,no,no,2.0,no,furnished
257,4480000,8250.0,3.0,1.0,1.0,yes,no,no,no,no,0.0,no,semi-furnished
258,4480000,4040.0,3.0,1.0,2.0,yes,no,no,no,no,1.0,no,semi-furnished
259,4473000,6360.0,2.0,1.0,1.0,yes,no,yes,no,yes,1.0,no,furnished
260,4473000,3162.0,3.0,1.0,2.0,yes,no,no,no,yes,1.0,no,furnished
261,4473000,3510.0,3.0,1.0,2.0,yes,no,no,no,no,0.0,no,semi-furnished
262,4445000,3750.0,2.0,1.0,1.0,yes,yes,yes,no,no,0.0,no,semi-furnished
263,4410000,3968.0,3.0,1.0,2.0,no,no,no,no,no,0.0,no,semi-furnished
264,4410000,4900.0,2.0,1.0,2.0,yes,no,yes,no,no,0.0,no,semi-furnished
265,4403000,2880.0,3.0,1.0,2.0,yes,no,no,no,no,0.0,yes,semi-furnished
266,4403000,4880.0,3.0,1.0,1.0,yes,no,no,no,no,2.0,yes,unfurnished
267,4403000,4920.0,3.0,1.0,2.0,yes,no,no,no,no,1.0,no,semi-furnished
268,4382000,4950.0,4.0,1.0,2.0,yes,no,no,no,no,0.0,no,semi-furnished
269,4375000,3900.0,3.0,1.0,2.0,yes,no,no,no,no,0.0,no,unfurnished
270,4340000,4500.0,3.0,2.0,3.0,yes,no,no,yes,no,1.0,no,furnished
271,4340000,5123.0,5.0,1.0,2.0,yes,no,yes,no,no,0.0,no,semi-furnished
272,4340000,4075.0,3.0,1.0,1.0,yes,yes,yes,no,no,2.0,no,semi-furnished
273,4340000,3500.0,4.0,1.0,2.0,yes,no,no,no,no,0.0,no,furnished
274,4340000,6450.0,4.0,1.0,2.0,yes,no,no,no,no,0.0,no,semi-furnished
275,4319000,4032.0,2.0,1.0,1.0,yes,no,yes,no,no,0.0,no,furnished
276,4305000,5123.0,2.0,1.0,1.0,yes,no,no,no,no,1.0,no,semi-furnished
277,4305000,5123.0,2.0,1.0,1.0,yes,no,no,no,no,1.0,yes,semi-furnished
278,4277000,3400.0,3.0,1.0,2.0,yes,no,yes,no,no,2.0,yes,semi-furnished
279,4270000,6360.0,2.0,1.0,1.0,yes,no,no,no,no,0.0,no,furnished
280,4270000,6360.0,2.0,1.0,2.0,yes,no,no,no,no,0.0,no,unfurnished
281,4270000,4500.0,2.0,1.0,1.0,yes,no,no,no,yes,2.0,no,furnished
282,4270000,2175.0,3.0,1.0,2.0,no,yes,yes,no,yes,0.0,no,unfurnished
283,4270000,4360.0,4.0,1.0,2.0,yes,no,no,no,no,0.0,no,furnished
284,4270000,7770.0,2.0,1.0,1.0,yes,no,no,no,no,1.0,no,furnished
285,4235000,6650.0,3.0,1.0,2.0,yes,yes,no,no,no,0.0,no,semi-furnished
286,4235000,2787.0,3.0,1.0,1.0,yes,no,yes,no,no,0.0,yes,furnished
287,4200000,5500.0,3.0,1.0,2.0,yes,no,no,no,yes,0.0,no,unfurnished
288,4200000,5040.0,3.0,1.0,2.0,yes,no,yes,no,yes,0.0,no,unfurnished
289,4200000,5850.0,2.0,1.0,1.0,yes,yes,yes,no,no,2.0,no,semi-furnished
290,4200000,2610.0,4.0,3.0,2.0,no,no,no,no,no,0.0,no,semi-furnished
291,4200000,2953.0,3.0,1.0,2.0,yes,no,yes,no,yes,0.0,no,unfurnished
